"","ID","Study_meta","Total_Selection","Total_Comparability","Total_Outcome","Total_Overall","Cohort_Selection_Risk","Comparability_Risk","Outcome_Risk","Overall_Risk","Overall_Quality"
"30","ID 445","Fahal, Sudan, 2014",3,2,3,8,"Low","Low","Low","Low","High"
"31","ID 5253","Fahal, Sudan, 2015",0,0,3,3,"High","High","Low","High","Low"
"32","ID 3805","Ganawa, Sudan, 2021",3,2,3,8,"Low","Low","Low","Low","High"
"33","ID 2396","Guimara ̃es, Brazil, 2003",0,0,3,3,"High","High","Low","High","Low"
"34","ID 3423","Hashemi, Iran, 2005",0,0,3,3,"High","High","Low","High","Low"
"35","ID 2946","Hassan, Sudan, 2021",2,2,3,7,"Some Concerns","Low","Low","Low","High"
"36","ID 2183","Hassan, Sudan, 2022",4,2,3,9,"Low","Low","Low","Low","High"
"37","ID 5654","Hay, United Kingdom, 1982",0,0,3,3,"High","High","Low","High","Low"
"38","ID 5783","Kaliswaran, India, 2003",0,0,3,3,"High","High","Low","High","Low"
"39","ID 5516","Kallel, Tunisia, 2004",3,2,3,8,"Low","Low","Low","Low","High"
"40","ID 509","Kamalam, India, 1976",3,2,3,8,"Low","Low","Low","Low","High"
"41","ID 951","Khatri, Yemen, 2002",0,0,3,3,"High","High","Low","High","Low"
"42","ID 3443","Khatri, Yemen, 2021",0,0,3,3,"High","High","Low","High","Low"
"43","ID 3501","Kizera, Uganda, 2020",3,2,3,8,"Low","Low","Low","Low","High"
"44","ID 5770","Kunna, Sudan, 2020",3,2,3,8,"Low","Low","Low","Low","High"
"45","ID 510","Kébéa, Mauritania, 2021",3,2,3,8,"Low","Low","Low","Low","High"
"46","ID 5796","Lewall, Saudi Arabia, 1985",0,0,3,3,"High","High","Low","High","Low"
"47","ID 1641","Lopez, Mexico, 2023",3,2,3,8,"Low","Low","Low","Low","High"
"48","ID 5784","Lopez-Martinez, Mexico, 2013",3,2,3,8,"Low","Low","Low","Low","High"
"49","ID 1648","Maiti, India, 2002",0,0,3,3,"High","High","Low","High","Low"
"50","ID 4290","Mallick, Brazil, 2021",0,0,3,3,"High","High","Low","High","Low"
"51","ID 1640","Maritinez, Mexico, 1992",1,0,3,4,"High","High","Low","High","Low"
"52","ID 3140","Mufti, Saudi Arabia, 2015",3,2,3,8,"Low","Low","Low","Low","High"
"53","ID 3554","Musa, Sudan, 2022",3,2,3,8,"Low","Low","Low","Low","High"
"54","ID 4424","Méndez-Tovar, Mexico, 2021",3,2,3,8,"Low","Low","Low","Low","High"
"55","ID 137","Ndiaye, Senegal, 2011",3,2,3,8,"Low","Low","Low","Low","High"
"56","ID 2922","Negroni, Argentina, 1998",0,0,3,3,"High","High","Low","High","Low"
"57","ID 1689","Negroni, Argentina, 2006",0,0,3,3,"High","High","Low","High","Low"
"58","ID 3458","Padhi, India, 2010",0,0,3,3,"High","High","Low","High","Low"
"59","ID 4716","Sampaio, Brazil, 2017",0,0,3,3,"High","High","Low","High","Low"
"60","ID 5780","Sarr, Senegal, 2015",0,0,3,3,"High","High","Low","High","Low"
"61","ID 3864","Sawatkar, India, 2019",0,0,3,3,"High","High","Low","High","Low"
"62","ID 2780","Sear, Venezuela, 2022",3,2,3,8,"Low","Low","Low","Low","High"
"63","ID 3494","Siblany, Saudi Arabia, 1998",0,0,3,3,"High","High","Low","High","Low"
"64","ID 5230","Siddig, Sudan, 2016",0,0,3,3,"High","High","Low","High","Low"
"65","ID 5411","Siddig, Sudan, 2022",0,0,3,3,"High","High","Low","High","Low"
"66","ID 3340","Sow, Senegal, 2020",0,0,3,3,"High","High","Low","High","Low"
"67","ID 1263","Sran, India, 1973",0,0,3,3,"High","High","Low","High","Low"
"68","ID 2678","Traore, Mali, 2021",3,0,3,6,"Low","High","Low","Some Concerns","Fair"
"69","ID 4423","Venugopal, India, 1975",0,0,3,3,"High","High","Low","High","Low"
"70","ID 1709","Venugopal, Saudi Arabia, 1990",0,0,3,3,"High","High","Low","High","Low"
"71","ID 456","Yousif, Sudan, 2009",0,0,3,3,"High","High","Low","High","Low"
"72","ID 223","Zein, Sudan, 2012",2,0,3,5,"Some Concerns","High","Low","Some Concerns","Fair"
